transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0190053,2025-04-11,246.49,246.49,GBP,Amazon UK,Card Payment,Amazon UK - Card Payment,Online Shopping,Completed,False,,
TXN0190075,2025-04-11,98.32,98.32,GBP,Airbnb,ATM Withdrawal,Airbnb,Travel,Completed,False,,
TXN0190090,2025-04-14,255.09,255.09,GBP,Betway,Refund,Payment to Betway,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0190016,2025-04-15,64.43,64.43,GBP,Argos,Purchase,Purchase - Argos,Electronics,Completed,False,,
TXN0190098,2025-04-16,872.17,872.17,GBP,Shell Petrol,Card Payment,Shell Petrol,Transport,Completed,False,FW15,
TXN0190084,2025-04-17,-1643.05,-1643.05,GBP,Wise Transfer,Direct Debit,Wise Transfer - Direct Debit,Money Transfer,Completed,False,FW20_Transfer,
TXN0190091,2025-04-19,-55.39,-55.39,GBP,M&S,Card Payment,Card Payment - M&S,Groceries,Completed,False,,
TXN0190024,2025-04-23,-53.76,-53.76,GBP,Uber,Standing Order,Uber,Transport,Completed,False,,
TXN0190032,2025-04-23,143.42,143.42,GBP,Texaco,Direct Debit,Texaco - Direct Debit,Transport,Completed,False,,
TXN0190054,2025-04-25,183.79,183.79,GBP,TfL Transport,Card Payment,Card Payment - TfL Transport,Transport,Completed,False,,
TXN0190067,2025-04-25,220.14,220.14,GBP,Octopus Energy,Purchase,Purchase - Octopus Energy,Utilities,Completed,False,,
TXN0190044,2025-04-27,146.9,146.9,GBP,Starbucks,Purchase,Starbucks,Food & Drink,Completed,False,,
TXN0190059,2025-04-29,220.72,220.72,GBP,Booking.com,ATM Withdrawal,Payment to Booking.com,Travel,Completed,False,,
TXN0190079,2025-05-02,76.68,76.68,GBP,Esso,Card Payment,Payment to Esso,Transport,Completed,False,,
TXN0190088,2025-05-03,316.81,316.81,GBP,888 Casino,Card Payment,888 Casino - Card Payment,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0190057,2025-05-04,944.43,944.43,GBP,Thames Water,Contactless,Contactless - Thames Water,Utilities,Completed,False,FW15,
TXN0190046,2025-05-04,42.03,42.03,GBP,Barcley Bank,ATM Withdrawal,ATM Withdrawal - Barcley Bank,Error,Completed,False,FW40_Misspelling,
TXN0190029,2025-05-06,1997.02,1997.02,GBP,Hermes Paris,Contactless,Hermes Paris - Contactless,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0190021,2025-05-06,493.92,493.92,GBP,Wire Transfer,Contactless,Wire Transfer - Contactless,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0190082,2025-05-06,2599.92,2599.92,GBP,Shell Petrol,Standing Order,Standing Order - Shell Petrol,Transport,Completed,False,FW15,High value transaction
TXN0190015,2025-05-07,70.02,70.02,GBP,Currys PC World,Direct Debit,Currys PC World,Electronics,Completed,False,,
TXN0190018,2025-05-10,88.25,88.25,GBP,EasyJet,Mobile Payment,EasyJet,Travel,Completed,False,,
TXN0190003,2025-05-13,195.79,195.79,GBP,Sky TV,Mobile Payment,Sky TV,Entertainment,Completed,False,,
TXN0190050,2025-05-15,56.12,56.12,GBP,Asda,ATM Withdrawal,Asda - ATM Withdrawal,Groceries,Completed,False,,
TXN0190074,2025-05-15,143.19,143.19,GBP,Samsung Store,ATM Withdrawal,Samsung Store,Electronics,Completed,False,,
TXN0190023,2025-05-15,53.49,53.49,GBP,Morrisons,Bank Transfer,Payment to Morrisons,Groceries,Completed,False,,
TXN0190033,2025-05-16,175.58,175.58,GBP,Sky TV,Direct Debit,Sky TV - Direct Debit,Entertainment,Completed,False,,
TXN0190000,2025-05-17,99.19,99.19,GBP,Octopus Energy,Direct Debit,Direct Debit - Octopus Energy,Utilities,Completed,False,,
TXN0190080,2025-05-18,4867.87,4867.87,GBP,British Airways,Online Purchase,Online Purchase - British Airways,Travel,Completed,False,FW15,High value transaction
TXN0190035,2025-05-18,202.86,202.86,GBP,Starbucks,Purchase,Payment to Starbucks,Food & Drink,Completed,False,,
TXN0190043,2025-05-18,73.33,73.33,GBP,Currys PC World,Purchase,Purchase - Currys PC World,Electronics,Completed,False,,
TXN0190039,2025-05-22,-15.0,-15.0,GBP,Airbnb,Mobile Payment,Airbnb,Travel,Completed,False,,
TXN0190073,2025-05-22,160.82,160.82,GBP,Airbnb,ATM Withdrawal,ATM Withdrawal - Airbnb,Travel,Completed,False,,
TXN0190042,2025-05-25,127.4,127.4,GBP,Spotify,Bank Transfer,Payment to Spotify,Entertainment,Completed,False,,
TXN0190045,2025-05-26,-180.94,-180.94,GBP,Booking.com,Card Payment,Booking.com - Card Payment,Travel,Completed,False,,
TXN0190087,2025-05-28,160.01,160.01,GBP,Apple Store,Mobile Payment,Apple Store - Mobile Payment,Electronics,Completed,False,,
TXN0190001,2025-07-06,3073.66,3073.66,GBP,Hotels.com,Standing Order,Hotels.com,Travel,Completed,False,FW15,High value transaction
TXN0190096,2025-07-07,771.24,771.24,GBP,Airbnb,Contactless,Airbnb - Contactless,Travel,Completed,False,FW15,
TXN0190014,2025-07-08,292.12,292.12,GBP,Betway,ATM Withdrawal,Betway,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0190037,2025-07-08,93.57,93.57,GBP,TfL Transport,Bank Transfer,TfL Transport - Bank Transfer,Transport,Completed,False,,
TXN0190093,2025-07-11,722.63,722.63,GBP,HSBC Loan Repayment,Refund,HSBC Loan Repayment,Debt Payment,Completed,False,FW50|FW15,
TXN0190025,2025-07-13,30.75,30.75,GBP,Uber,Mobile Payment,Payment to Uber,Transport,Completed,False,,
TXN0190078,2025-07-14,27.23,27.23,GBP,Hotels.com,ATM Withdrawal,Hotels.com - ATM Withdrawal,Travel,Completed,False,,
TXN0190051,2025-07-15,226.86,226.86,GBP,Premier Inn,Refund,Payment to Premier Inn,Travel,Completed,False,,
TXN0190047,2025-07-20,644.36,644.36,GBP,TfL Transport,ATM Withdrawal,Payment to TfL Transport,Transport,Completed,False,FW15,
TXN0190095,2025-07-21,225.29,225.29,GBP,Thames Water,Mobile Payment,Thames Water,Utilities,Completed,False,,
TXN0190086,2025-07-22,-105.13,-105.13,GBP,John Lewis,Bank Transfer,John Lewis,Online Shopping,Completed,False,,
TXN0190055,2025-07-26,173.23,173.23,GBP,Amazn UK,Contactless,Contactless - Amazn UK,Error,Completed,False,FW40_Misspelling,
TXN0190072,2025-07-28,88.36,88.36,GBP,EasyJet,Online Purchase,EasyJet,Travel,Completed,False,,
TXN0190097,2025-07-29,128.48,128.48,GBP,BP Station,ATM Withdrawal,BP Station,Transport,Completed,False,,
TXN0190034,2025-07-29,73.57,73.57,GBP,Amazon Prime,Direct Debit,Amazon Prime - Direct Debit,Online Shopping,Completed,False,,
TXN0190092,2025-07-29,695.82,695.82,GBP,Tesco Supermarket,ATM Withdrawal,Payment to Tesco Supermarket,Groceries,Completed,False,FW15,
TXN0190006,2025-07-30,204.11,204.11,GBP,Starbucks,ATM Withdrawal,Starbucks,Food & Drink,Completed,False,,
TXN0190040,2025-08-01,48.57,48.57,GBP,Waitrose,Bank Transfer,Waitrose - Bank Transfer,Groceries,Completed,False,,
TXN0190005,2025-08-01,69.93,69.93,GBP,Argos,ATM Withdrawal,Argos - ATM Withdrawal,Electronics,Completed,False,,
TXN0190058,2025-08-01,124.8,124.8,GBP,Argos,Online Purchase,Payment to Argos,Electronics,Completed,False,,
TXN0190007,2025-08-06,77.48,77.48,GBP,Amazon UK,Direct Debit,Direct Debit - Amazon UK,Online Shopping,Completed,False,,
TXN0190071,2025-08-12,949.4,949.4,GBP,AMEX Payment,Purchase,AMEX Payment,Debt Payment,Completed,False,FW50|FW15,
TXN0190013,2025-08-12,1031.59,1031.59,GBP,Tiffany & Co,Bank Transfer,Payment to Tiffany & Co,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0190020,2025-08-13,945.97,945.97,GBP,TfL Transport,Direct Debit,TfL Transport - Direct Debit,Transport,Completed,False,FW15,
TXN0190041,2025-08-13,144.66,144.66,GBP,BP Station,Card Payment,BP Station,Transport,Completed,False,,
TXN0190083,2025-08-16,91.96,91.96,GBP,Tesoc,Bank Transfer,Tesoc - Bank Transfer,Error,Completed,False,FW40_Misspelling,
TXN0190076,2025-08-23,264.86,264.86,GBP,Virgin Money Credit Card,Refund,Virgin Money Credit Card,Debt Payment,Completed,False,FW15,
TXN0190068,2025-08-25,791.93,791.93,GBP,John Lewis,Bank Transfer,Payment to John Lewis,Online Shopping,Completed,False,FW15,
TXN0190030,2025-08-28,103.81,103.81,GBP,Betfair,Bank Transfer,Betfair - Bank Transfer,Gambling,Completed,False,FW45,Gambling transaction
TXN0190028,2025-08-29,361.89,361.89,GBP,Wire Transfer,Card Payment,Payment to Wire Transfer,Unknown,Completed,False,FW25|FW15,Missing audit trail
